number,value,duration,params_learning_rate,params_num_train_epochs,params_per_device_train_batch_size,params_warmup_steps,params_weight_decay,state
0,0.8522450988032965,0 days 00:00:46.204077,2.7783342762832702e-05,2,16,158,0.03816186905551426,COMPLETE
1,0.842557273573553,0 days 00:01:08.291109,4.4096558813245676e-05,4,32,152,0.06320638186656491,COMPLETE
2,0.8228135078285649,0 days 00:01:09.048804,0.00012626136466956515,3,16,189,0.18577876600186385,COMPLETE
3,0.819458732651109,0 days 00:00:34.908025,0.00019044200214532033,2,32,190,0.06946431757503387,COMPLETE
4,0.8577277129208972,0 days 00:01:01.650088,5.458562291150014e-05,4,64,34,0.10700544285554155,COMPLETE
5,0.8305482850778908,0 days 00:00:33.063719,9.213027577292636e-05,2,32,74,0.043647926596710615,PRUNED
6,0.6141721654727299,0 days 00:00:21.822057,0.00017497017760835919,2,16,30,0.09304950461221688,PRUNED
7,0.8461960843477633,0 days 00:00:46.570253,0.0001701519877743465,3,64,2,0.05690872332853415,COMPLETE
8,0.8610142050908584,0 days 00:01:30.729666,2.6671030576600103e-05,4,16,58,0.036762735036943384,COMPLETE
9,0.830275582449311,0 days 00:00:31.430046,6.0543272893021636e-05,2,64,33,0.026906838582406695,COMPLETE
10,0.8058156105024636,0 days 00:00:22.336395,2.0036991771792955e-05,3,16,92,0.16934509003394038,PRUNED
11,0.8563173280703554,0 days 00:01:03.239740,3.955552351382598e-05,4,64,66,0.12009169410145273,COMPLETE
12,0.7773681515617,0 days 00:00:14.695567,6.730493725029642e-05,4,64,106,0.12507034139289538,PRUNED
13,0.8086298220752637,0 days 00:00:21.846556,3.253455699007383e-05,4,16,41,0.1369034164776946,PRUNED
14,0.7656779594093027,0 days 00:00:14.385567,2.046088947682668e-05,4,64,7,0.09486375105875695,PRUNED
15,0.7999145097361283,0 days 00:00:21.789816,5.831510561876776e-05,3,16,59,0.01099442253828441,PRUNED
16,0.8381447443137048,0 days 00:01:01.580690,8.218992845324939e-05,4,64,123,0.09290015398094888,COMPLETE
17,0.8021161844691257,0 days 00:00:14.782456,4.5489157338719924e-05,4,64,51,0.14323418557745263,PRUNED
18,0.8424120806729501,0 days 00:01:08.299489,2.7115789751168718e-05,3,16,84,0.16407029907896065,COMPLETE
19,0.8221167819113527,0 days 00:00:16.333692,3.422124805189488e-05,4,32,18,0.0803071972812055,PRUNED
20,0.8359063842989135,0 days 00:00:44.142005,0.0001057820710408577,3,16,97,0.107393996754897,PRUNED
